Municipality,Perfecture,population_2011,population_2021,diff,diff_pct
ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΛΑΚΩΝΙΑΣ,13005,12805,-200,"-1,5%"
ΕΛΑΦΟΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,1041,913,-128,"-12,3%"
ΕΥΡΩΤΑ,ΛΑΚΩΝΙΑΣ,17891,16018,-1873,"-10,5%"
ΜΟΝΕΜΒΑΣΙΑΣ,ΛΑΚΩΝΙΑΣ,21942,21815,-127,"-0,6%"
ΣΠΑΡΤΗΣ,ΛΑΚΩΝΙΑΣ,35259,32918,-2341,"-6,6%"
ΑΓΙΑΣ,ΛΑΡΙΣΑΣ,11470,10705,-765,"-6,7%"
ΕΛΑΣΣΟΝΑΣ,ΛΑΡΙΣΑΣ,32121,25441,-6680,"-20,8%"
ΚΙΛΕΛΕΡ,ΛΑΡΙΣΑΣ,20854,18068,-2786,"-13,4%"
ΛΑΡΙΣΑΙΩΝ,ΛΑΡΙΣΑΣ,162591,164381,1790,"1,1%"
ΤΕΜΠΩΝ,ΛΑΡΙΣΑΣ,13712,11994,-1718,"-12,5%"
ΤΥΡΝΑΒΟΥ,ΛΑΡΙΣΑΣ,25032,22252,-2780,"-11,1%"
ΦΑΡΣΑΛΩΝ,ΛΑΡΙΣΑΣ,18545,16310,-2235,"-12,1%"
ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,ΛΑΣΙΘΙΟΥ,27074,26937,-137,"-0,5%"
ΙΕΡΑΠΕΤΡΑΣ,ΛΑΣΙΘΙΟΥ,26200,26410,210,"0,8%"
ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΛΑΣΙΘΙΟΥ,2387,2285,-102,"-4,3%"
ΣΗΤΕΙΑΣ,ΛΑΣΙΘΙΟΥ,19720,20268,548,"2,8%"
ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ,ΛΕΣΒΟΥ,270,257,-13,"-4,8%"
ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,28564,24783,-3781,"-13,2%"
ΛΗΜΝΟΥ,ΛΕΣΒΟΥ,16992,16458,-534,"-3,1%"
ΜΥΤΙΛΗΝΗΣ,ΛΕΣΒΟΥ,57872,58285,413,"0,7%"
ΛΕΥΚΑΔΑΣ,ΛΕΥΚΑΔΟΣ,22652,21759,-893,"-3,9%"
ΜΕΓΑΝΗΣΙΟΥ,ΛΕΥΚΑΔΟΣ,1041,914,-127,"-12,2%"
ΑΛΜΥΡΟΥ,ΜΑΓΝΗΣΙΑΣ,18614,16004,-2610,"-14,0%"
ΑΛΟΝΝΗΣΟΥ,ΜΑΓΝΗΣΙΑΣ,2750,3153,403,"14,7%"
ΒΟΛΟΥ,ΜΑΓΝΗΣΙΑΣ,144449,138865,-5584,"-3,9%"
ΖΑΓΟΡΑΣ-ΜΟΥΡΕΣΙΟΥ,ΜΑΓΝΗΣΙΑΣ,5809,4556,-1253,"-21,6%"
ΝΟΤΙΟΥ ΠΗΛΙΟΥ,ΜΑΓΝΗΣΙΑΣ,10216,8322,-1894,"-18,5%"
ΡΗΓΑ ΦΕΡΑΙΟΥ,ΜΑΓΝΗΣΙΑΣ,10922,8841,-2081,"-19,1%"
ΣΚΙΑΘΟΥ,ΜΑΓΝΗΣΙΑΣ,6088,5499,-589,"-9,7%"
ΣΚΟΠΕΛΟΥ,ΜΑΓΝΗΣΙΑΣ,4960,4377,-583,"-11,8%"
ΔΥΤΙΚΗΣ ΜΑΝΗΣ,ΜΕΣΣΗΝΙΑΣ,6945,5772,-1173,"-16,9%"
ΚΑΛΑΜΑΤΑΣ,ΜΕΣΣΗΝΙΑΣ,69849,71894,2045,"2,9%"
ΜΕΣΣΗΝΗΣ,ΜΕΣΣΗΝΙΑΣ,23482,19200,-4282,"-18,2%"
ΟΙΧΑΛΙΑΣ,ΜΕΣΣΗΝΙΑΣ,11228,8508,-2720,"-24,2%"
ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,ΜΕΣΣΗΝΙΑΣ,21077,17179,-3898,"-18,5%"
ΤΡΙΦΥΛΙΑΣ,ΜΕΣΣΗΝΙΑΣ,27373,22367,-5006,"-18,3%"
ΑΒΔΗΡΩΝ,ΞΑΝΘΗΣ,19005,17860,-1145,"-6,0%"
ΜΥΚΗΣ,ΞΑΝΘΗΣ,15540,14521,-1019,"-6,6%"
ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,65133,66162,1029,"1,6%"
ΤΟΠΕΙΡΟΥ,ΞΑΝΘΗΣ,11544,9634,-1910,"-16,5%"
ΑΛΜΩΠΙΑΣ,ΠΕΛΛΑΣ,27556,24924,-2632,"-9,6%"
ΕΔΕΣΣΑΣ,ΠΕΛΛΑΣ,28814,26336,-2478,"-8,6%"
ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,63122,56918,-6204,"-9,8%"
ΣΚΥΔΡΑΣ,ΠΕΛΛΑΣ,20188,18080,-2108,"-10,4%"
ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΠΙΕΡΙΑΣ,25668,23984,-1684,"-6,6%"
ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,85851,82971,-2880,"-3,4%"
ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΠΙΕΡΙΑΣ,15179,12531,-2648,"-17,4%"
ΖΗΡΟΥ,ΠΡΕΒΕΖΗΣ,13892,13071,-821,"-5,9%"
ΠΑΡΓΑΣ,ΠΡΕΒΕΖΗΣ,11866,10771,-1095,"-9,2%"
ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΗΣ,31733,30893,-840,"-2,6%"
ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,ΡΕΘΥΜΝΟΥ,7427,7194,-233,"-3,1%"
ΑΜΑΡΙΟΥ,ΡΕΘΥΜΝΟΥ,5915,5607,-308,"-5,2%"
ΑΝΩΓΕΙΩΝ,ΡΕΘΥΜΝΟΥ,2379,2240,-139,"-5,8%"
ΜΥΛΟΠΟΤΑΜΟΥ,ΡΕΘΥΜΝΟΥ,14363,12890,-1473,"-10,3%"
ΡΕΘΥΜΝΗΣ,ΡΕΘΥΜΝΟΥ,55525,55636,111,"0,2%"
ΑΡΡΙΑΝΩΝ,ΡΟΔΟΠΗΣ,16577,14944,-1633,"-9,9%"
ΙΑΣΜΟΥ,ΡΟΔΟΠΗΣ,13810,12346,-1464,"-10,6%"
ΚΟΜΟΤΗΝΗΣ,ΡΟΔΟΠΗΣ,66919,65107,-1812,"-2,7%"
ΜΑΡΩΝΕΙΑΣ-ΣΑΠΩΝ,ΡΟΔΟΠΗΣ,14733,11983,-2750,"-18,7%"
ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ,ΣΑΜΟΥ,20513,20025,-488,"-2,4%"
ΔΥΤΙΚΗΣ ΣΑΜΟΥ,ΣΑΜΟΥ,12464,12608,144,"1,2%"
ΙΚΑΡΙΑΣ,ΣΑΜΟΥ,8423,8555,132,"1,6%"
ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ,ΣΑΜΟΥ,1459,1346,-113,"-7,7%"
ΑΜΦΙΠΟΛΗΣ,ΣΕΡΡΩΝ,9182,7169,-2013,"-21,9%"
ΒΙΣΑΛΤΙΑΣ,ΣΕΡΡΩΝ,20030,16032,-3998,"-20,0%"
ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΣΕΡΡΩΝ,14664,11574,-3090,"-21,1%"
ΗΡΑΚΛΕΙΑΣ,ΣΕΡΡΩΝ,21145,15711,-5434,"-25,7%"
ΝΕΑΣ ΖΙΧΝΗΣ,ΣΕΡΡΩΝ,12397,8259,-4138,"-33,4%"
ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,76817,73847,-2970,"-3,9%"
ΣΙΝΤΙΚΗΣ,ΣΕΡΡΩΝ,22195,19532,-2663,"-12,0%"
ΜΕΤΕΩΡΩΝ,ΤΡΙΚΑΛΩΝ,21991,19290,-2701,"-12,3%"
ΠΥΛΗΣ,ΤΡΙΚΑΛΩΝ,14343,12915,-1428,"-10,0%"
ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΑΛΩΝ,81355,78508,-2847,"-3,5%"
ΦΑΡΚΑΔΟΝΑΣ,ΤΡΙΚΑΛΩΝ,13396,11348,-2048,"-15,3%"
ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,ΦΘΙΩΤΙΔΑΣ,10922,8381,-2541,"-23,3%"
ΔΟΜΟΚΟΥ,ΦΘΙΩΤΙΔΑΣ,11495,9178,-2317,"-20,2%"
ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ,ΦΘΙΩΤΙΔΑΣ,12090,10901,-1189,"-9,8%"
ΛΑΜΙΕΩΝ,ΦΘΙΩΤΙΔΑΣ,75315,66472,-8843,"-11,7%"
ΛΟΚΡΩΝ,ΦΘΙΩΤΙΔΑΣ,19623,17854,-1769,"-9,0%"
ΜΑΚΡΑΚΩΜΗΣ,ΦΘΙΩΤΙΔΑΣ,16036,13553,-2483,"-15,5%"
ΣΤΥΛΙΔΑΣ,ΦΘΙΩΤΙΔΑΣ,12750,11417,-1333,"-10,5%"
ΑΜΥΝΤΑΙΟΥ,ΦΛΩΡΙΝΑΣ,16973,14331,-2642,"-15,6%"
ΠΡΕΣΠΩΝ,ΦΛΩΡΙΝΑΣ,1560,1220,-340,"-21,8%"
ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,32881,29611,-3270,"-9,9%"
ΔΕΛΦΩΝ,ΦΩΚΙΔΑΣ,26716,24160,-2556,"-9,6%"
ΔΩΡΙΔΟΣ,ΦΩΚΙΔΑΣ,13627,12050,-1577,"-11,6%"
ΑΡΙΣΤΟΤΕΛΗ,ΧΑΛΚΙΔΙΚΗΣ,18294,16994,-1300,"-7,1%"
ΚΑΣΣΑΝΔΡΑΣ,ΧΑΛΚΙΔΙΚΗΣ,16672,16958,286,"1,7%"
ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,ΧΑΛΚΙΔΙΚΗΣ,36500,34391,-2109,"-5,8%"
ΠΟΛΥΓΥΡΟΥ,ΧΑΛΚΙΔΙΚΗΣ,22048,21350,-698,"-3,2%"
ΣΙΘΩΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,12394,11631,-763,"-6,2%"
ΑΠΟΚΟΡΩΝΟΥ,ΧΑΝΙΩΝ,12807,11771,-1036,"-8,1%"
ΓΑΥΔΟΥ,ΧΑΝΙΩΝ,152,151,-1,"-0,7%"
ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ,ΧΑΝΙΩΝ,5431,4931,-500,"-9,2%"
ΚΙΣΣΑΜΟΥ,ΧΑΝΙΩΝ,10790,10632,-158,"-1,5%"
ΠΛΑΤΑΝΙΑ,ΧΑΝΙΩΝ,16874,15320,-1554,"-9,2%"
ΣΦΑΚΙΩΝ,ΧΑΝΙΩΝ,1889,1992,103,"5,5%"
ΧΑΝΙΩΝ,ΧΑΝΙΩΝ,108642,110646,2004,"1,8%"
ΗΡΩΙΚΗΣ ΝΗΣΟΥ	ΨΑΡΩΝ,ΧΙΟΥ,458,420,-38,"-8,3%"
ΟΙΝΟΥΣΣΩΝ,ΧΙΟΥ,826,916,90,"10,9%"
ΧΙΟΥ,ΧΙΟΥ,51390,50483,-907,"-1,8%"
