Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Party,Percent,Party_Gr,Party_En,Acronym
Pulse RC,ΣΚΑΪ,2019-09-17,2019-09-18,National,1110,Provided,Not Available,0.5%,SYRIZA,0.295,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Μetron Analysis,Το Βήμα,2019-09-16,2019-09-18,National,1202,Provided,Not Available,0.1%,SYRIZA,0.268,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Star,2019-09-14,2019-09-16,National,1020,Provided,Not Available,0.1%,SYRIZA,0.267,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2019-09-02,2019-09-05,National,1001,Provided,Not Available,0.1%,SYRIZA,0.282,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,,2019-09-02,2019-09-04,National,1102,Provided,Not Available,0.1%,SYRIZA,0.266,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,,2019-07-01,2019-07-05,National,1449,Provided,Not Available,0.1%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Κάπα Research,ΕΘΝΟΣ,2019-07-01,2019-07-05,National,1241,Provided,Not Available,0.1%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ANT1,2019-07-02,2019-07-04,National,1412,Provided,Not Available,0.1%,SYRIZA,0.275,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Star,2019-07-01,2019-07-04,National,1205,Provided,Not Available,0.1%,SYRIZA,0.285,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
RASS,Action24,2019-07-01,2019-07-04,National,1003,Provided,Not Available,0.1%,SYRIZA,0.27699999999999997,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2019-07-02,2019-07-03,National,1206,Provided,Not Available,0.1%,SYRIZA,0.303,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Βεργίνα TV,2019-07-01,2019-07-03,National,1005,Provided,Not Available,0.1%,SYRIZA,0.251,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Public Issue,,2019-06-18,2019-07-03,National,1003,Provided,Not Available,0.5%,SYRIZA,0.27,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Open TV,2019-06-28,2019-07-02,National,1000,Provided,Not Available,0.1%,SYRIZA,0.278,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,,2019-06-28,2019-07-01,National,1000,Provided,Not Available,0.1%,SYRIZA,0.265,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Alpha TV,2019-06-27,2019-07-01,National,1207,Provided,Not Available,0.1%,SYRIZA,0.292,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
RASS,in.gr,2019-06-24,2019-06-27,National,1002,Provided,Not Available,0.1%,SYRIZA,0.287,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2019-06-24,2019-06-26,National,1504,Provided,Not Available,0.1%,SYRIZA,0.294,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Τα Νέα,2019-06-24,2019-06-26,National,1014,Provided,Not Available,0.1%,SYRIZA,0.29,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politik,2019-06-24,2019-06-26,National,1005,Provided,Not Available,0.1%,SYRIZA,0.285,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ANT1,2019-06-19,2019-06-23,National,1214,Provided,Not Available,0.1%,SYRIZA,0.272,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Βεργίνα TV,2019-06-18,2019-06-20,National,1000,Provided,Not Available,0.1%,SYRIZA,0.22399999999999998,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Newpost,2019-06-18,2019-06-20,National,1000,Provided,Not Available,0.1%,SYRIZA,0.276,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2019-06-18,2019-06-19,National,1221,Provided,Not Available,0.1%,SYRIZA,0.29,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Το Βήμα,2019-06-14,2019-06-19,National,1001,Provided,Not Available,0.1%,SYRIZA,0.295,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,,2019-06-13,2019-06-19,National,1000,Provided,Not Available,0.1%,SYRIZA,0.23199999999999998,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,,2019-06-10,2019-06-13,National,1115,Provided,Not Available,0.1%,SYRIZA,0.287,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2019-06-10,2019-06-12,National,1356,Provided,Not Available,0.1%,SYRIZA,0.28800000000000003,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Star,2019-06-10,2019-06-12,National,1003,Provided,Not Available,0.1%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Alpha TV,2019-06-03,2019-06-05,National,1201,Provided,Not Available,0.1%,SYRIZA,0.29600000000000004,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2019-05-30,2019-06-01,National,1358,Provided,Not Available,0.1%,SYRIZA,0.267,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Vox Pop Analysis,Documento,2019-05-06,2019-05-08,National,1286,Provided,Not Available,0.1%,SYRIZA,0.32,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Star,2019-05-06,2019-05-08,National,1139,Provided,88.7%,1%,SYRIZA,0.27,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Alpha TV,2019-04-15,2019-04-17,National,1200,Provided,Not Available,0.1%,SYRIZA,0.273,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Βεργίνα TV,2019-04-15,2019-04-17,National,1005,Provided,Not Available,0.1%,SYRIZA,0.254,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Star,2019-04-01,2019-04-03,National,1003,Provided,Not Available,0.1%,SYRIZA,0.27399999999999997,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2019-03-26,2019-04-01,National,1200,Provided,Not Available,0.1%,SYRIZA,0.261,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
RASS,in.gr,2019-03-26,2019-03-28,National,1005,Provided,Not Available,0.1%,SYRIZA,0.252,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2019-03-23,2019-03-27,National,1452,Provided,Not Available,1%,SYRIZA,0.25,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Το Βήμα,2019-03-18,2019-03-20,National,1204,Provided,Not Available,0.1%,SYRIZA,0.26,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Vox Pop Analysis,Documento,2019-03-18,2019-03-20,National,1000,Provided,Not Available,0.1%,SYRIZA,0.282,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2019-02-24,2019-02-26,National,1323,Provided,Not Available,0.5%,SYRIZA,0.245,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Open,2019-02-18,2019-02-23,National,1000,Provided,Not Available,0.1%,SYRIZA,0.25,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Public Issue,,2019-02-01,2019-02-14,National,1002,Provided,Not Available,0.5%,SYRIZA,0.245,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Βεργίνα TV,2019-02-04,2019-02-05,National,1000,Provided,Not Available,0.1%,SYRIZA,0.247,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Η Εφημερίδα των Συντακτών,2019-02-01,2019-02-04,National,1000,Provided,Not Available,0.5%,SYRIZA,0.245,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Vox Pop Analysis,Documento,2019-02-01,2019-02-02,National,1205,Provided,Not Available,0.1%,SYRIZA,0.251,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Το Βήμα,2019-01-28,2019-01-29,National,7536,Provided,Not Available,0.1%,SYRIZA,0.275,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
RASS,in.gr,2019-01-21,2019-01-24,National,1004,Provided,Not Available,0.1%,SYRIZA,0.252,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2019-01-20,2019-01-22,National,1356,Provided,Not Available,0.5%,SYRIZA,0.26,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2019-01-14,2019-01-17,National,1002,Provided,Not Available,0.1%,SYRIZA,0.26899999999999996,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,,2019-01-10,2019-01-16,National,1000,Provided,Not Available,0.1%,SYRIZA,0.22,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2018-12-16,2018-12-18,National,1354,Provided,Not Available,0.5%,SYRIZA,0.26,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Open,2018-12-05,2018-12-10,National,1000,Provided,Not Available,0.1%,SYRIZA,0.254,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Κάπα Research,thebest.gr,2018-12-04,2018-12-06,National,1004,Provided,Not Available,0.1%,SYRIZA,0.257,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,real.gr,2018-11-28,2018-12-06,National,2000,Provided,Not Available,0.1%,SYRIZA,0.276,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Palmos Analysis,TVXS,2018-11-20,2018-11-23,National,1025,Provided,Not Available,0.5%,SYRIZA,0.285,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Τα Νέα,2018-11-19,2018-11-21,National,1205,Provided,Not Available,0.1%,SYRIZA,0.26899999999999996,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2018-11-18,2018-11-20,National,1356,Provided,Not Available,0.5%,SYRIZA,0.255,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Public Issue,,2018-11-06,2018-11-16,National,1000,Provided,Not Available,0.5%,SYRIZA,0.22,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2018-10-22,2018-10-24,National,1002,Provided,Not Available,0.1%,SYRIZA,0.237,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2018-10-14,2018-10-16,National,1355,Provided,Not Available,0.5%,SYRIZA,0.25,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Palmos Analysis,TVXS,2018-09-18,2018-09-21,National,1016,Provided,Not Available,0.5%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Τα Νέα,2018-09-18,2018-09-20,National,1000,Provided,Not Available,0.1%,SYRIZA,0.252,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Star,2018-09-17,2018-09-19,National,1004,Provided,Not Available,0.1%,SYRIZA,0.26899999999999996,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Kontra Channel,2018-09-17,2018-09-19,National,1000,Provided,Not Available,0.1%,SYRIZA,0.258,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Κάπα Research,ΕΘΝΟΣ,2018-09-17,2018-09-18,National,1005,Provided,Not Available,0.1%,SYRIZA,0.252,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2018-09-16,2018-09-18,National,1354,Provided,Not Available,0.5%,SYRIZA,0.26,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2018-09-08,2018-09-08,National,1000,Provided,Not Available,0.1%,SYRIZA,0.23199999999999998,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Real,2018-06-22,2018-06-29,National,2000,Provided,Not Available,0.1%,SYRIZA,0.252,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Τα Νέα,2018-06-26,2018-06-28,National,1000,Provided,Not Available,0.1%,SYRIZA,0.226,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Kontra Channel,2018-06-23,2018-06-27,National,1000,Provided,Not Available,0.1%,SYRIZA,0.23600000000000002,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2018-06-24,2018-06-26,National,1323,Provided,Not Available,0.1%,SYRIZA,0.245,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2018-06-13,2018-06-15,National,1000,Provided,Not Available,0.1%,SYRIZA,0.2,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
RASS,Action 24,2018-05-29,2018-05-31,National,1002,Provided,Not Available,0.1%,SYRIZA,0.237,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Kontra Channel,2018-05-16,2018-05-20,National,1000,Provided,80.4%,0.1%,SYRIZA,0.20199999999999999,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2018-05-13,2018-05-15,National,1341,Provided,Not Available,0.5%,SYRIZA,0.25,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Public Issue,,2018-04-23,2018-05-07,National,1003,Provided,Not Available,0.5%,SYRIZA,0.2,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2018-04-15,2018-04-17,National,1356,Provided,Not Available,0.5%,SYRIZA,0.245,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Ραδιόφωνο 24/7,2018-04-11,2018-04-16,National,1000,Provided,Not Available,0.1%,SYRIZA,0.245,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Palmos Analysis,TVXS,2018-04-12,2018-04-15,National,1009,Provided,Not Available,0.5%,SYRIZA,0.255,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Κάπα Research,ΕΘΝΟΣ,2018-04-03,2018-04-03,National,8000,Provided,Not Available,0.1%,SYRIZA,0.226,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2018-03-11,2018-03-13,National,1304,Provided,Not Available,0.5%,SYRIZA,0.245,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
RASS,Πρώτο Θέμα,2018-03-06,2018-03-08,National,1002,Provided,Not Available,0.1%,SYRIZA,0.23399999999999999,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,ΕΘΝΟΣ,2018-02-22,2018-02-24,National,1000,Provided,Not Available,0.1%,SYRIZA,0.247,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Το Βήμα,2018-02-12,2018-02-23,National,2300,Provided,Not Available,0.1%,SYRIZA,0.252,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,Action 24,2018-01-25,2018-01-29,National,1518,Provided,Not Available,0.5%,SYRIZA,0.24,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Ραδιόφωνο 24/7,2018-01-16,2018-01-18,National,1000,Provided,Not Available,0.1%,SYRIZA,0.25,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Public Issue,,2018-01-08,2018-01-18,National,1010,Provided,Not Available,0.5%,SYRIZA,0.215,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,bankingnews.gr,2018-01-08,2018-01-10,National,1207,Provided,Not Available,0.5%,SYRIZA,0.25,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,Action 24,2023-11-13,2023-11-15,National,1011,Provided,80.7%,0.1%,ND,0.384,Νέα Δημοκρατία,ND,ΝΔ
Alco,Alpha TV,2023-10-30,2023-11-03,National,1000,Provided,Not Available,0.1%,ND,0.38799999999999996,Νέα Δημοκρατία,ND,ΝΔ
MRB,Open TV,2023-10-30,2023-11-01,National,1000,Provided,Not Available,0.1%,ND,0.38,Νέα Δημοκρατία,ND,ΝΔ
Pulse RC,ΣΚΑΪ,2023-10-26,2023-10-30,National,1163,Provided,Not Available,0.1%,ND,0.385,Νέα Δημοκρατία,ND,ΝΔ
GPO,Star TV,2023-10-23,2023-10-24,National,1100,Provided,Not Available,0.1%,ND,0.41600000000000004,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,Mega TV,2023-10-18,2023-10-24,National,1300,Provided,Not Available,0.1%,ND,0.38,Νέα Δημοκρατία,ND,ΝΔ
Prorata,Attica TV,2023-09-27,2023-10-02,National,1000,Provided,Not Available,0.1%,ND,0.385,Νέα Δημοκρατία,ND,ΝΔ
MRB,Open TV,2023-09-25,2023-09-28,National,1058,Provided,Not Available,0.1%,ND,0.38,Νέα Δημοκρατία,ND,ΝΔ
Alco,Alpha TV,2023-09-25,2023-09-28,National,1000,Provided,Not Available,0.1%,ND,0.37200000000000005,Νέα Δημοκρατία,ND,ΝΔ
Pulse RC,ΣΚΑΪ,2023-09-25,2023-09-27,National,1306,Provided,Not Available,0.1%,ND,0.37799999999999995,Νέα Δημοκρατία,ND,ΝΔ
GPO,Απογευματινή,2023-09-25,2023-09-27,National,1142,Provided,Not Available,0.1%,ND,0.444,Νέα Δημοκρατία,ND,ΝΔ
Opinion Poll,Action 24,2023-09-21,2023-09-26,National,1219,Provided,Not Available,0.1%,ND,0.391,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,Mega TV,2023-09-21,2023-09-26,National,1005,Provided,Not Available,0.1%,ND,0.364,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,,2023-06-21,2023-06-23,National,1219,Provided,Not Available,0.1%,ND,0.414,Νέα Δημοκρατία,ND,ΝΔ
Marc,ΑΝΤ1,2023-06-20,2023-06-22,National,1506,Provided,Not Available,0.1%,ND,0.42200000000000004,Νέα Δημοκρατία,ND,ΝΔ
Pulse RC,ΣΚΑΪ,2023-06-20,2023-06-22,National,1021,Provided,Not Available,0.1%,ND,0.405,Νέα Δημοκρατία,ND,ΝΔ
MRB,Open TV,2023-06-20,2023-06-22,National,1000,Provided,Not Available,0.1%,ND,0.405,Νέα Δημοκρατία,ND,ΝΔ
Palmos Analysis,Tvxs.gr,2023-06-19,2023-06-22,National,1023,Provided,Not Available,0.1%,ND,0.418,Νέα Δημοκρατία,ND,ΝΔ
Rass,iefimerida,2023-06-19,2023-06-22,National,1005,Provided,Not Available,0.1%,ND,0.43,Νέα Δημοκρατία,ND,ΝΔ
Alco,Alpha TV,2023-06-16,2023-06-21,National,1403,Provided,Not Available,0.1%,ND,0.42200000000000004,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,Mega TV,2023-06-15,2023-06-21,National,1302,Provided,Not Available,0.1%,ND,0.4,Νέα Δημοκρατία,ND,ΝΔ
Pulse RC,ΣΚΑΪ,2023-06-18,2023-06-20,National,1016,Provided,Not Available,0.1%,ND,0.405,Νέα Δημοκρατία,ND,ΝΔ
Interview,Politic.gr,2023-06-16,2023-06-19,National,2005,Provided,Not Available,0.1%,ND,0.42100000000000004,Νέα Δημοκρατία,ND,ΝΔ
MRB,Newsbomb,2023-06-15,2023-06-19,National,1000,Provided,Not Available,0.1%,ND,0.41,Νέα Δημοκρατία,ND,ΝΔ
Marc,Πρώτο ΘΕΜΑ,2023-06-12,2023-06-15,National,1853,Provided,Not Available,0.1%,ND,0.42700000000000005,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,Το Βήμα,2023-06-09,2023-06-15,National,1201,Provided,Not Available,0.1%,ND,0.406,Νέα Δημοκρατία,ND,ΝΔ
Opinion Poll,The TOC,2023-06-12,2023-06-14,National,1001,Provided,Not Available,0.1%,ND,0.414,Νέα Δημοκρατία,ND,ΝΔ
GPO,Παραπολιτικά,2023-06-12,2023-06-14,National,1000,Provided,Not Available,0.1%,ND,0.445,Νέα Δημοκρατία,ND,ΝΔ
Pulse RC,ΣΚΑΪ,2023-06-08,2023-06-12,National,1308,Provided,Not Available,0.1%,ND,0.42200000000000004,Νέα Δημοκρατία,ND,ΝΔ
Marc,ΑΝΤ1,2023-06-07,2023-06-11,National,1501,Provided,Not Available,0.1%,ND,0.419,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,Mega TV,2023-06-07,2023-06-10,National,1200,Provided,Not Available,0.1%,ND,0.40299999999999997,Νέα Δημοκρατία,ND,ΝΔ
Alco,Alpha TV,2023-06-06,2023-06-10,National,1200,Provided,Not Available,0.1%,ND,0.431,Νέα Δημοκρατία,ND,ΝΔ
GPO,Τα Νέα,2023-06-06,2023-06-08,National,1000,Provided,Not Available,0.1%,ND,0.439,Νέα Δημοκρατία,ND,ΝΔ
MRB,Open TV,2023-06-06,2023-06-07,National,1000,Provided,Not Available,0.1%,ND,0.41200000000000003,Νέα Δημοκρατία,ND,ΝΔ
GPO,Παραπολιτικά,2023-05-30,2023-05-31,National,1000,Provided,Not Available,0.1%,ND,0.439,Νέα Δημοκρατία,ND,ΝΔ
Marc,Πρώτο ΘΕΜΑ,2023-05-23,2023-05-31,National,3008,Provided,Not Available,0.1%,ND,0.42100000000000004,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,Mega TV,2023-05-25,2023-05-30,National,1202,Provided,Not Available,0.1%,ND,0.41,Νέα Δημοκρατία,ND,ΝΔ
Κάπα Research,,2022-05-22,2023-05-23,National,1002,Provided,Not Available,0.1%,ND,0.413,Νέα Δημοκρατία,ND,ΝΔ
MRB,Open TV,2023-05-16,2023-05-19,National,1100,Provided,Not Available,0.1%,ND,0.361,Νέα Δημοκρατία,ND,ΝΔ
Pulse RC,ΣΚΑΪ,2023-05-14,2023-05-19,National,1425,Provided,Not Available,0.1%,ND,0.364,Νέα Δημοκρατία,ND,ΝΔ
Marc,ΑΝΤ1,2023-05-16,2023-05-18,National,1266,Provided,Not Available,0.1%,ND,0.38,Νέα Δημοκρατία,ND,ΝΔ
Rass,iefimerida,2023-05-15,2023-05-18,National,1221,Provided,Not Available,0.1%,ND,0.358,Νέα Δημοκρατία,ND,ΝΔ
GPO,Παραπολιτικά,2023-05-15,2023-05-17,National,1200,Provided,Not Available,0.1%,ND,0.37200000000000005,Νέα Δημοκρατία,ND,ΝΔ
Palmos Analysis,Tvxs.gr,2023-05-13,2023-05-17,National,1306,Provided,Not Available,0.1%,ND,0.354,Νέα Δημοκρατία,ND,ΝΔ
Interview,Politic.gr,2023-05-12,2023-05-17,National,2405,Provided,Not Available,0.1%,ND,0.379,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,Mega TV,2023-05-12,2023-05-17,National,1500,Provided,Not Available,0.1%,ND,0.358,Νέα Δημοκρατία,ND,ΝΔ
Rass,Action 24,2023-06-13,2023-05-16,National,1110,Provided,Not Available,0.1%,ND,0.43,Νέα Δημοκρατία,ND,ΝΔ
Alco,Alpha TV,2023-05-11,2023-05-16,National,1200,Provided,Not Available,0.1%,ND,0.368,Νέα Δημοκρατία,ND,ΝΔ
Prorata,Η Εφημερίδα των Συντακτών,2023-05-28,2023-05-11,National,1000,Provided,Not Available,0.1%,ND,0.35,Νέα Δημοκρατία,ND,ΝΔ
GPO,Παραπολιτικά,2023-05-10,2023-05-11,National,1120,Provided,Not Available,0.1%,ND,0.37200000000000005,Νέα Δημοκρατία,ND,ΝΔ
Marc,Πρώτο ΘΕΜΑ,2023-05-09,2023-05-11,National,1212,Provided,Not Available,0.1%,ND,0.376,Νέα Δημοκρατία,ND,ΝΔ
Metron Analysis,Mega TV,2023-05-04,2023-05-11,National,2105,Provided,Not Available,0.1%,ND,0.361,Νέα Δημοκρατία,ND,ΝΔ
Marc,ΑΝΤ1,2023-05-05,2023-05-09,National,1286,Provided,Not Available,0.1%,ND,0.371,Νέα Δημοκρατία,ND,ΝΔ
Κάπα Research,,2022-05-05,2023-05-09,National,1202,Provided,Not Available,0.1%,ND,0.366,Νέα Δημοκρατία,ND,ΝΔ
